procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 20447936 199992 7666216    0    0     0    62 1175 1712  1  1 98  0  0
 0  0      0 20427144 200056 7666488    0    0     0    81 1109 1736  1  1 99  0  0
 0  0      0 20445520 200096 7666248    0    0     0    68 1142 1713  1  1 98  0  0
 0  0      0 20432248 200168 7666360    0    0     0    89 1122 1527  1  1 99  0  0
 0  0      0 20433720 200208 7669360    0    0     0    51 1160 1653  1  1 98  0  0
 0  0      0 20432844 200288 7665832    0    0     0   120 1248 1855  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20437316 200384 7667520    0    0     0   405 1652 2557  2  1 98  0  0
 0  0      0 20344476 200472 7672380    0    0     0  1029 1476 2466  1  1 98  0  0
 1  0      0 20295380 200552 7685304    0    0     0   168 1260 2036  1  1 98  0  0
 0  0      0 20380688 200624 7669464    0    0     0   141 1265 1911  1  1 98  0  0
 0  0      0 20391788 200664 7666648    0    0     0    68 1158 1731  1  1 99  0  0
 1  0      0 20390884 200736 7666672    0    0     0   109 1120 1735  1  1 99  0  0
 0  0      0 20387132 200768 7666704    0    0     0    71 1308 1840  1  0 99  0  0
 2  0      0 20388128 200848 7666220    0    0     0   101 1326 2006  1  1 98  0  0
 1  0      0 20386824 200908 7666980    0    0     0   117 1319 1794  1  1 99  0  0
 1  0      0 20387240 200980 7666756    0    0     0   110 1188 1688  1  1 99  0  0
 0  0      0 20386248 201012 7669944    0    0     0  1696 1163 1612  1  1 98  0  0
 0  0      0 20377908 201092 7666124    0    0     0    47 1173 1672  1  1 98  0  0
 0  0      0 20393472 201132 7666644    0    0     0   101 1217 1762  1  1 99  0  0
 0  0      0 20366892 201180 7666944    0    0     0    83 1178 1648  1  1 99  0  0
 0  0      0 20384012 201252 7666740    0    0     0   461 1259 1794  1  1 98  0  0
 0  0      0 20408692 201300 7669064    0    0     0  1293 1300 1779  1  1 98  0  0
 0  0      0 20402728 201356 7666768    0    0     0    93 1100 1594  1  1 99  0  0
 0  0      0 20399644 201412 7669948    0    0     0   100 1252 1832  1  1 98  0  0
 0  0      0 20387896 201460 7666660    0    0     0    67 1155 1490  1  1 99  0  0
 0  0      0 20374512 201548 7686080    0    0     0   117 1305 1849  1  1 99  0  0
 0  0      0 20377640 201580 7672788    0    0     0    61 1195 1644  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20389652 201636 7672996    0    0     0    89 1240 1774  1  1 98  0  0
 0  0      0 20388208 201724 7676208    0    0     0    97 1187 1708  1  1 98  0  0
 8  0      0 20326136 201900 7682040    0    0     0   231 1548 2873  1  1 98  0  0
 0  0      0 20311044 202120 7681792    0    0     0   402 1305 2227  1  1 98  0  0
 0  0      0 20339884 202184 7682256    0    0     0   133 1297 2027  1  1 98  0  0
 1  0      0 20314624 202224 7680556    0    0     0    99 1205 2053  1  1 99  0  0
 0  0      0 20361792 202320 7663828    0    0     0   108 1231 1827  1  1 98  0  0
 0  0      0 20379400 202352 7663576    0    0     0    63 1183 1667  1  1 98  0  0
