2024-04-24 18:23:19 [1714000999] : running TPC-DS benchmark
2024-04-24 18:23:19 [1714000999] : running queries defined in TPC-DS benchmark
2024-04-24 18:29:59 [1714001399] :     query 69 finished OK (1 seconds)
2024-04-24 18:29:59 [1714001399] :   running query 70
2024-04-24 18:30:00 [1714001400] :     query 70 finished OK (1 seconds)
2024-04-24 18:30:00 [1714001400] :   running query 71
2024-04-24 18:30:01 [1714001401] :     query 71 finished OK (1 seconds)
2024-04-24 18:30:01 [1714001401] :   running query 72
2024-04-24 18:30:02 [1714001402] :     query 72 finished OK (1 seconds)
2024-04-24 18:30:02 [1714001402] :   running query 73
2024-04-24 18:30:04 [1714001404] :     query 73 finished OK (1 seconds)
2024-04-24 18:30:04 [1714001404] :   running query 74
2024-04-24 18:31:44 [1714001504] :     killing query 74 (timeout)
2024-04-24 18:31:54 [1714001514] :   running query 75
2024-04-24 18:31:55 [1714001515] :     query 75 finished OK (1 seconds)
2024-04-24 18:31:55 [1714001515] :   running query 76
2024-04-24 18:31:56 [1714001516] :     query 76 finished OK (1 seconds)
2024-04-24 18:31:56 [1714001516] :   running query 77
2024-04-24 18:31:57 [1714001517] :     query 77 finished OK (1 seconds)
2024-04-24 18:31:57 [1714001517] :   running query 78
2024-04-24 18:31:59 [1714001519] :     query 78 finished OK (2 seconds)
2024-04-24 18:31:59 [1714001519] :   running query 79
2024-04-24 18:32:00 [1714001520] :     query 79 finished OK (1 seconds)
2024-04-24 18:32:00 [1714001520] :   running query 80
2024-04-24 18:32:01 [1714001521] :     query 80 finished OK (1 seconds)
2024-04-24 18:32:01 [1714001521] :   running query 81
2024-04-24 18:32:33 [1714001553] :     query 81 finished OK (32 seconds)
2024-04-24 18:32:33 [1714001553] :   running query 82
2024-04-24 18:32:34 [1714001554] :     query 82 finished OK (1 seconds)
2024-04-24 18:32:34 [1714001554] :   running query 83
2024-04-24 18:32:35 [1714001555] :     query 83 finished OK (1 seconds)
2024-04-24 18:32:35 [1714001555] :   running query 84
2024-04-24 18:32:36 [1714001556] :     query 84 finished OK (1 seconds)
2024-04-24 18:32:36 [1714001556] :   running query 85
2024-04-24 18:32:37 [1714001557] :     query 85 finished OK (1 seconds)
2024-04-24 18:32:37 [1714001557] :   running query 86
2024-04-24 18:32:38 [1714001558] :     query 86 finished OK (1 seconds)
2024-04-24 18:32:38 [1714001558] :   running query 87
2024-04-24 18:32:40 [1714001560] :     query 87 finished OK (2 seconds)
2024-04-24 18:32:40 [1714001560] :   running query 88
2024-04-24 18:32:43 [1714001563] :     query 88 finished OK (3 seconds)
2024-04-24 18:32:43 [1714001563] :   running query 89
2024-04-24 18:32:44 [1714001564] :     query 89 finished OK (1 seconds)
2024-04-24 18:32:44 [1714001564] :   running query 90
2024-04-24 18:32:45 [1714001565] :     query 90 finished OK (1 seconds)
2024-04-24 18:32:45 [1714001565] :   running query 91
2024-04-24 18:32:47 [1714001567] :     query 91 finished OK (1 seconds)
2024-04-24 18:32:47 [1714001567] :   running query 92
2024-04-24 18:32:48 [1714001568] :     query 92 finished OK (1 seconds)
2024-04-24 18:32:48 [1714001568] :   running query 93
2024-04-24 18:32:49 [1714001569] :     query 93 finished OK (1 seconds)
2024-04-24 18:32:49 [1714001569] :   running query 94
2024-04-24 18:32:50 [1714001570] :     query 94 finished OK (1 seconds)
2024-04-24 18:32:50 [1714001570] :   running query 95
2024-04-24 18:33:02 [1714001582] :     query 95 finished OK (12 seconds)
2024-04-24 18:33:02 [1714001582] :   running query 96
2024-04-24 18:33:03 [1714001583] :     query 96 finished OK (1 seconds)
2024-04-24 18:33:03 [1714001583] :   running query 97
2024-04-24 18:33:04 [1714001584] :     query 97 finished OK (1 seconds)
2024-04-24 18:33:04 [1714001584] :   running query 98
2024-04-24 18:33:05 [1714001585] :     query 98 finished OK (1 seconds)
2024-04-24 18:33:05 [1714001585] :   running query 99
2024-04-24 18:33:06 [1714001586] :     query 99 finished OK (1 seconds)
2024-04-24 18:33:06 [1714001586] : finished TPC-DS benchmark
2024-04-24 18:52:15 [1714002735] : running TPC-DS benchmark
2024-04-24 18:52:15 [1714002735] : running queries defined in TPC-DS benchmark
2024-04-24 18:52:15 [1714002735] : finished TPC-DS benchmark
2024-04-24 18:54:28 [1714002868] : running TPC-DS benchmark
2024-04-24 18:54:29 [1714002869] : running queries defined in TPC-DS benchmark
2024-04-24 18:54:29 [1714002869] : finished TPC-DS benchmark
2024-04-24 18:55:04 [1714002904] : running TPC-DS benchmark
2024-04-24 18:55:04 [1714002904] : running queries defined in TPC-DS benchmark
2024-04-24 18:55:04 [1714002904] : finished TPC-DS benchmark
2024-04-24 18:56:21 [1714002981] : running TPC-DS benchmark
2024-04-24 18:56:21 [1714002981] : running queries defined in TPC-DS benchmark
2024-04-24 18:56:21 [1714002981] : finished TPC-DS benchmark
